Month,Date,Day,Closing,Highest,Lowest
January,01-01-2021,Friday,5026,5026,5009
January,02-01-2021,Saturday,5026,5026,5026
January,03-01-2021,Sunday,5026,5026,5026
January,04-01-2021,Monday,5086,5101,5026
January,05-01-2021,Tuesday,5123,5137,5101
January,06-01-2021,Wednesday,5137,5174,5119
January,07-01-2021,Thursday,5154,5184,5130
January,08-01-2021,Friday,4951,5094,4951
January,09-01-2021,Saturday,4897,4897,4885
January,10-01-2021,Sunday,4897,4897,4897
January,11-01-2021,Monday,4908,4934,4870
January,12-01-2021,Tuesday,4905,4953,4900
January,13-01-2021,Wednesday,4932,4942,4912
January,14-01-2021,Thursday,4912,4929,4880
January,15-01-2021,Friday,4887,4928,4883
January,16-01-2021,Saturday,4870,4871,4870
January,17-01-2021,Sunday,4870,4870,4870
January,18-01-2021,Monday,4882,4893,4865
January,19-01-2021,Tuesday,4896,4904,4883
January,20-01-2021,Wednesday,4942,4942,4883
January,21-01-2021,Thursday,4944,4974,4939
January,22-01-2021,Friday,4896,4945,4871
January,23-01-2021,Saturday,4914,4917,4914
January,24-01-2021,Sunday,4914,4914,4914
January,25-01-2021,Monday,4914,4932,4895
January,26-01-2021,Tuesday,4915,4915,4909
January,27-01-2021,Wednesday,4862,4915,4862
January,28-01-2021,Thursday,4915,4915,4865
January,29-01-2021,Friday,4909,4940,4863
January,30-01-2021,Saturday,4910,4911,4910
January,31-01-2021,Sunday,4910,4910,4910
February,01-02-2021,Monday,4852,4921,4720
February,02-02-2021,Tuesday,4761,4842,4761
February,03-02-2021,Wednesday,4773,4796,4772
February,04-02-2021,Thursday,4735,4782,4734
February,05-02-2021,Friday,4708,4708,4666
February,06-02-2021,Saturday,4726,4726,4708
February,07-02-2021,Sunday,4726,4726,4726
February,08-02-2021,Monday,4780,4783,4717
February,09-02-2021,Tuesday,4798,4819,4785
February,10-02-2021,Wednesday,4807,4826,4789
February,11-02-2021,Thursday,4795,4808,4780
February,12-02-2021,Friday,4737,4755,4717
February,13-02-2021,Saturday,4753,4753,4752
February,14-02-2021,Sunday,4753,4753,4753
February,15-02-2021,Monday,4729,4753,4726
February,16-02-2021,Tuesday,4675,4745,4674
February,17-02-2021,Wednesday,4650,4717,4636
February,18-02-2021,Thursday,4614,4647,4614
February,19-02-2021,Friday,4647,4647,4592
February,20-02-2021,Saturday,4620,4622,4620
February,21-02-2021,Sunday,4620,4620,4620
February,22-02-2021,Monday,4680,4680,4620
February,23-02-2021,Tuesday,4660,4697,4660
February,24-02-2021,Wednesday,4633,4685,4633
February,25-02-2021,Thursday,4638,4661,4629
February,26-02-2021,Friday,4619,4666,4602
February,27-02-2021,Saturday,4575,4577,4575
February,28-02-2021,Sunday,4577,4577,4575
March,01-03-2021,Monday,4565,4612,4565
March,02-03-2021,Tuesday,4527,4549,4507
March,03-03-2021,Wednesday,4473,4553,4470
March,04-03-2021,Thursday,4470,4499,4459
March,05-03-2021,Friday,4442,4460,4426
March,06-03-2021,Saturday,4468,4468,4467
March,07-03-2021,Sunday,4467,4468,4467
March,08-03-2021,Monday,4434,4476,4434
March,09-03-2021,Tuesday,4491,4491,4424
March,10-03-2021,Wednesday,4485,4488,4469
March,11-03-2021,Thursday,4490,4509,4476
March,12-03-2021,Friday,4442,4489,4433
March,13-03-2021,Saturday,4477,4477,4476
March,14-03-2021,Sunday,4476,4477,4476
March,15-03-2021,Monday,4481,4501,4476
March,16-03-2021,Tuesday,4497,4504,4486
March,17-03-2021,Wednesday,4492,4499,4482
March,18-03-2021,Thursday,4479,4529,4469
March,19-03-2021,Friday,4490,4508,4485
March,20-03-2021,Saturday,4503,4503,4501
March,21-03-2021,Sunday,4503,4503,4503
March,22-03-2021,Monday,4482,4504,4468
